employee_id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,dept,salary
84,0.52,0.92,4,150,2,1,0,0,support,low
85,0.75,0.68,3,150,2,1,0,0,support,medium
86,0.76,0.62,3,150,2,1,0,0,technical,medium
87,0.52,0.92,3,150,2,1,0,0,technical,medium
88,0.85,0.72,3,150,2,1,0,0,technical,low
89,0.15,0.8,5,151,2,1,0,0,sales,low
90,0.94,0.71,4,151,2,1,0,0,sales,low
91,1,0.54,3,151,2,1,0,0,technical,low
92,0.62,0.87,3,151,2,1,0,0,hr,medium
93,0.84,0.81,4,152,2,1,0,0,product_mng,medium
94,0.82,0.77,4,152,2,1,0,0,marketing,low
95,0.94,0.72,3,152,2,1,0,0,sales,medium
96,0.93,0.73,4,153,2,1,0,0,IT,medium
97,0.56,0.84,5,154,2,1,0,0,support,low
98,0.72,0.87,4,154,2,1,0,0,accounting,medium
99,0.92,0.96,3,154,2,1,0,0,sales,low
100,0.75,0.5,4,155,2,1,0,0,hr,low
101,0.41,0.48,3,155,2,1,0,0,technical,medium
102,0.95,0.65,3,155,2,1,0,0,sales,medium
103,0.54,0.49,2,155,2,1,0,0,marketing,medium
104,0.3,0.47,6,156,2,1,0,0,support,medium
105,0.97,0.58,5,156,2,1,0,0,RandD,low
106,0.72,0.99,4,156,2,1,0,0,sales,low
107,0.48,0.74,2,157,2,1,0,0,sales,medium
108,0.87,0.52,3,158,2,1,0,0,sales,low
109,0.96,0.5,3,158,2,1,0,0,sales,medium
110,0.75,0.57,3,158,2,1,0,0,RandD,low
111,0.94,0.82,4,159,2,1,0,0,support,low
112,0.67,0.71,4,159,2,1,0,0,technical,medium
113,0.86,0.53,4,160,2,1,0,0,sales,medium
114,0.61,0.69,4,160,2,1,0,0,support,high
115,0.9,0.66,4,160,2,1,0,0,support,medium
116,0.66,0.57,3,161,2,1,0,0,RandD,medium
117,0.84,0.96,3,161,2,1,0,0,sales,low
118,0.68,0.43,3,161,2,1,0,0,sales,medium
119,0.73,0.93,4,162,2,1,0,0,support,medium
120,0.61,0.59,3,162,2,1,0,0,IT,low
121,0.76,0.79,3,162,2,1,0,0,technical,medium
122,0.48,0.68,4,163,2,1,0,0,technical,low
123,0.76,0.55,4,163,2,1,0,0,hr,medium
124,0.42,0.75,3,163,2,1,0,0,sales,low
125,0.72,0.5,4,164,2,1,0,0,management,low
126,0.72,0.5,4,164,2,1,0,0,management,low
127,0.87,0.6,5,165,2,1,0,0,marketing,high
128,0.87,0.6,5,165,2,1,0,0,marketing,high
129,0.5,0.74,4,165,2,1,0,0,sales,medium
130,0.98,0.91,3,165,2,1,0,0,hr,medium
131,0.98,0.91,3,165,2,1,0,0,hr,medium
132,0.81,0.89,4,166,2,1,0,0,sales,low
133,0.78,0.91,3,166,2,1,0,0,product_mng,low
134,0.91,0.91,6,167,2,1,0,0,sales,low
135,0.96,1,4,167,2,1,0,0,technical,low
136,0.83,0.52,3,167,2,1,0,0,IT,low
137,0.57,0.61,3,167,2,1,0,0,IT,low
138,0.6,0.76,5,168,2,1,0,0,accounting,high
139,0.73,0.49,3,168,2,1,0,0,sales,low
140,0.85,0.5,3,168,2,1,0,0,marketing,medium
141,0.62,0.87,6,169,2,1,0,0,sales,medium
142,0.59,0.89,5,169,2,1,0,0,marketing,low
143,0.86,0.99,3,169,2,1,0,0,sales,low
144,0.54,0.58,3,169,2,1,0,0,technical,high
145,0.66,0.56,3,169,2,1,0,0,support,medium
146,0.97,0.67,3,169,2,1,0,0,sales,medium
147,0.78,0.64,3,169,2,1,0,0,technical,medium
148,0.97,0.6,3,169,2,1,0,0,product_mng,low
149,0.37,0.72,3,169,2,1,0,0,support,medium
150,0.37,0.72,3,169,2,1,0,0,support,medium
151,0.34,0.46,2,169,2,1,0,0,support,low
152,0.96,0.6,4,170,2,1,0,0,product_mng,low
153,0.4,0.65,6,172,2,1,0,0,technical,low
154,0.71,0.76,5,172,2,1,0,0,support,high
155,0.46,0.45,2,172,2,1,0,0,management,low
156,0.67,0.5,4,173,2,1,0,0,support,high
157,0.77,0.5,4,173,2,1,0,0,technical,low
158,0.71,0.97,3,173,2,1,0,0,marketing,medium
159,0.72,0.84,2,173,2,1,0,0,management,high
160,0.67,0.56,5,174,2,1,0,0,RandD,medium
161,0.21,0.43,5,175,2,1,0,0,sales,high
162,0.21,0.43,5,175,2,1,0,0,sales,high
163,0.87,0.57,4,175,2,1,0,0,technical,low
164,0.66,0.94,4,176,2,1,0,0,technical,low
165,0.66,0.9,3,176,2,1,0,0,product_mng,medium
166,0.63,0.77,3,176,2,1,0,0,sales,low
167,0.59,0.71,2,176,2,1,0,0,sales,medium
168,0.63,0.4,6,177,2,1,0,0,sales,medium
169,0.63,0.7,5,177,2,1,0,0,sales,medium
170,0.63,0.66,3,177,2,1,0,0,support,medium
171,0.92,0.49,5,178,2,1,0,0,RandD,medium
172,0.77,0.61,4,178,2,1,0,0,support,high
173,0.87,0.74,4,178,2,1,0,0,support,medium
174,0.8,0.55,4,178,2,1,0,0,support,low
175,0.8,0.55,4,178,2,1,0,0,support,low
176,0.52,0.88,3,179,2,1,0,0,support,low
177,0.69,0.75,3,179,2,1,0,0,sales,high
178,0.83,0.9,3,179,2,1,0,0,product_mng,low
179,0.45,0.46,3,179,2,1,0,0,sales,low
180,0.55,0.45,3,179,2,1,0,0,sales,low
181,0.55,0.45,3,179,2,1,0,0,sales,low
182,0.98,0.81,3,180,2,1,0,0,support,high
183,0.48,0.63,3,180,2,1,0,0,technical,low
184,0.64,0.64,3,180,2,1,0,0,sales,low
185,0.68,0.81,3,180,2,1,0,0,sales,high
186,0.62,0.72,2,180,2,1,0,0,technical,low
187,0.7,0.91,4,181,2,1,0,0,technical,low
188,0.55,0.71,4,181,2,1,0,0,RandD,low
189,0.81,0.66,3,181,2,1,0,0,sales,medium
190,0.89,0.71,5,182,2,1,0,0,hr,medium
191,0.83,0.53,5,182,2,1,0,0,technical,medium
192,0.65,0.83,5,182,2,1,0,0,IT,low
193,0.61,0.72,4,182,2,1,0,0,RandD,medium
194,0.97,0.77,3,182,2,1,0,0,support,low
195,0.71,0.8,3,182,2,1,0,0,technical,low
196,0.96,0.48,3,182,2,1,0,0,support,medium
197,0.5,0.72,3,182,2,1,0,0,product_mng,medium
198,0.31,0.64,6,183,2,1,0,0,technical,low
199,0.44,0.57,5,183,2,1,0,0,sales,low
200,0.66,0.8,4,183,2,1,0,0,technical,medium
201,0.8,0.83,4,183,2,1,0,1,support,low
202,0.81,0.8,3,183,2,1,0,0,RandD,medium
203,0.95,0.52,3,183,2,1,0,0,sales,low
204,0.95,0.52,3,183,2,1,0,0,sales,low
205,0.96,0.7,5,184,2,1,0,0,product_mng,medium
206,0.54,0.93,4,184,2,1,0,0,marketing,medium
207,0.54,0.93,4,184,2,1,0,0,marketing,medium
208,0.61,0.74,5,185,2,1,0,0,technical,medium
209,0.74,0.51,4,185,2,1,0,0,support,low
210,0.68,1,4,185,2,1,0,0,sales,low
211,0.66,0.96,4,185,2,1,0,0,sales,medium
212,0.55,0.98,4,185,2,1,0,0,marketing,low
213,0.55,0.98,4,185,2,1,0,0,marketing,low
214,0.41,0.61,3,185,2,1,0,0,sales,medium
215,0.89,0.78,3,185,2,1,0,0,technical,medium
216,0.64,0.72,3,185,2,1,0,0,technical,high
217,0.48,0.94,3,185,2,1,0,0,IT,medium
218,0.61,0.87,3,185,2,1,0,0,support,low
219,0.76,0.83,3,186,2,1,0,0,RandD,medium
220,0.66,0.84,5,187,2,1,0,0,RandD,low
221,0.84,0.89,4,187,2,1,0,0,IT,low
222,0.38,0.5,2,187,2,1,0,0,sales,medium
223,0.56,0.91,4,188,2,1,0,0,sales,low
224,0.84,0.52,5,189,2,1,0,0,IT,low
225,0.76,0.68,4,189,2,1,0,0,IT,medium
226,0.21,0.93,4,189,2,1,0,0,sales,medium
227,0.95,0.42,3,189,2,1,0,0,hr,medium
228,0.65,0.84,3,189,2,1,0,0,support,low
229,0.53,0.65,2,189,2,1,0,0,IT,low
230,0.57,0.61,2,189,2,1,0,0,technical,high
231,0.85,0.57,5,190,2,1,0,0,technical,medium
232,0.6,0.61,5,191,2,1,0,0,technical,high
233,0.6,0.61,5,191,2,1,0,0,technical,high
234,0.56,0.54,4,191,2,1,0,1,sales,medium
235,0.5,0.53,3,191,2,1,0,0,hr,low
236,0.56,0.48,5,192,2,1,0,0,technical,medium
237,0.56,0.48,5,192,2,1,0,0,technical,medium
238,0.98,0.53,4,192,2,1,0,0,sales,low
239,0.61,0.62,2,192,2,1,0,0,support,low
240,0.56,0.78,4,193,2,1,0,0,support,low
241,0.45,0.41,3,193,2,1,0,0,sales,low
242,0.67,0.56,3,193,2,1,0,0,IT,medium
243,0.78,0.8,4,194,2,1,0,0,technical,medium
244,0.67,0.44,4,194,2,1,0,0,sales,low
245,0.59,0.59,3,194,2,1,0,0,support,medium
246,0.58,0.43,3,194,2,1,0,0,RandD,medium
247,0.7,0.54,3,194,2,1,0,0,IT,low
248,0.7,0.54,3,194,2,1,0,0,IT,low
249,0.97,0.7,5,195,2,1,0,0,RandD,low
250,0.58,0.77,4,196,2,1,0,0,technical,low
251,0.93,0.68,4,196,2,1,0,0,support,low
252,0.99,0.86,4,196,2,1,0,0,marketing,high
253,0.71,0.53,4,196,2,1,0,0,sales,low
254,0.71,0.53,4,196,2,1,0,0,sales,low
255,0.92,0.56,5,197,2,1,0,0,product_mng,medium
256,0.32,0.87,2,197,2,1,0,0,technical,medium
257,0.64,0.67,5,198,2,1,0,0,support,medium
258,0.51,0.56,4,198,2,1,0,0,technical,medium
259,0.51,0.56,4,198,2,1,0,0,technical,medium
260,0.67,0.64,3,198,2,1,0,0,management,medium
261,0.67,0.64,3,198,2,1,0,0,management,medium
262,0.71,0.61,2,198,2,1,0,0,marketing,low
263,0.97,0.63,5,199,2,1,0,0,IT,high
264,0.81,0.55,3,199,2,1,0,0,IT,medium
265,0.81,0.55,3,199,2,1,0,0,IT,medium
266,0.7,0.52,5,200,2,1,0,0,IT,low
267,0.73,0.49,4,200,2,1,0,0,technical,low
268,0.88,0.72,3,200,2,1,0,0,sales,medium
269,0.64,0.59,3,200,2,1,0,0,hr,medium
270,0.91,0.7,6,201,2,1,0,0,accounting,low
271,0.83,0.85,4,201,2,1,0,0,support,low
272,0.89,0.85,4,201,2,1,0,0,support,low
273,0.9,0.64,4,201,2,1,0,0,sales,medium
274,0.55,0.63,3,201,2,1,0,0,support,high
275,0.48,0.51,3,201,2,1,0,0,support,low
276,0.69,0.8,5,203,2,1,0,0,support,high
277,0.59,0.51,3,203,2,1,0,0,IT,medium
278,0.72,0.57,3,203,2,1,0,0,marketing,medium
279,0.67,0.64,3,203,2,1,0,0,technical,low
280,0.95,0.78,3,204,2,1,0,0,marketing,medium
281,0.79,0.94,3,204,2,1,0,0,sales,low
282,0.76,0.85,3,204,2,1,0,0,product_mng,medium
283,0.96,0.51,5,205,2,1,0,0,sales,medium
284,0.92,0.58,5,205,2,1,0,0,management,medium
285,0.73,0.63,3,205,2,1,0,0,hr,low
286,0.52,0.82,4,206,2,1,0,0,sales,high
287,0.56,0.76,4,206,2,1,0,0,support,low
288,0.74,0.68,3,206,2,1,0,0,support,medium
289,0.6,0.52,4,207,2,1,0,0,RandD,medium
290,0.95,0.69,4,207,2,1,0,0,technical,low
291,0.7,0.58,4,207,2,1,0,0,sales,medium
292,0.78,0.98,4,207,2,1,0,0,technical,medium
293,0.78,0.98,4,207,2,1,0,0,technical,medium
294,0.64,0.69,3,207,2,1,0,0,IT,low
295,0.86,0.83,5,208,2,1,0,0,hr,medium
296,0.71,0.99,5,208,2,1,0,0,accounting,low
297,0.62,0.51,4,208,2,1,0,0,sales,low
298,0.79,0.92,4,208,2,1,0,0,marketing,low
299,0.97,0.89,4,208,2,1,0,0,technical,low
300,0.79,0.92,4,208,2,1,0,0,marketing,low
301,0.97,0.89,4,208,2,1,0,0,technical,low
302,0.63,0.64,3,208,2,1,0,0,support,low
303,0.56,0.59,5,209,2,1,0,0,hr,high
304,0.6,0.85,3,209,2,1,0,0,technical,medium
305,0.99,0.65,3,209,2,1,0,0,support,low
306,0.91,0.88,5,210,2,1,0,0,sales,low
307,0.69,0.72,4,210,2,1,0,0,sales,high
308,0.69,0.72,4,210,2,1,0,0,sales,high
309,0.64,0.92,5,211,2,1,0,0,IT,medium
310,0.86,0.51,4,211,2,1,0,0,technical,low
311,0.33,0.4,4,212,2,1,0,0,accounting,low
312,0.81,0.81,4,212,2,1,0,0,sales,medium
313,0.81,0.81,4,212,2,1,0,0,sales,medium
314,0.59,0.62,3,212,2,1,0,0,sales,high
315,0.79,0.63,3,212,2,1,0,0,sales,medium
316,0.94,0.65,4,213,2,1,0,0,IT,low
317,0.94,0.65,4,213,2,1,0,0,IT,low
318,0.56,0.76,3,213,2,1,0,0,product_mng,medium
319,0.76,0.56,4,214,2,1,0,0,sales,medium
320,0.97,0.66,4,214,2,1,0,0,IT,low
321,0.57,0.72,4,214,2,1,0,0,sales,low
322,0.57,0.72,4,214,2,1,0,0,sales,low
323,0.96,0.69,3,214,2,1,0,0,IT,low
324,0.88,0.88,3,214,2,1,0,0,RandD,low
325,0.59,0.6,3,214,2,1,0,0,product_mng,low
326,0.59,0.6,3,214,2,1,0,0,product_mng,low
327,0.84,0.76,5,215,2,1,0,0,support,low
328,0.63,0.79,5,215,2,1,0,0,accounting,medium
329,0.79,0.65,5,215,2,1,0,0,sales,medium
330,0.79,0.65,5,215,2,1,0,0,sales,medium
331,0.94,0.6,4,215,2,1,0,0,IT,medium
332,0.75,0.51,2,215,2,1,0,0,sales,low
333,0.75,0.51,2,215,2,1,0,0,sales,low
334,0.57,0.53,5,216,2,1,0,0,sales,medium
335,0.62,0.79,4,216,2,1,0,0,technical,low
336,0.6,0.83,4,216,2,1,0,0,hr,low
337,0.59,0.59,4,216,2,1,0,0,support,medium
338,0.51,0.5,4,216,2,1,0,0,management,medium
339,0.52,0.98,5,217,2,1,0,0,technical,low
340,0.52,0.98,5,217,2,1,0,0,technical,low
341,0.63,0.76,4,217,2,1,0,0,IT,medium
342,0.83,0.88,3,217,2,1,0,0,support,high
343,0.96,0.5,3,217,2,1,0,0,IT,low
344,0.9,0.74,4,218,2,1,0,0,sales,medium
345,0.67,0.72,4,218,2,1,0,0,sales,low
346,0.51,0.8,3,218,2,1,0,0,support,low
347,0.52,0.51,3,218,2,1,0,0,technical,medium
348,0.94,0.78,3,218,2,1,0,0,sales,medium
349,0.51,0.58,2,218,2,1,0,0,technical,low
350,0.57,0.85,4,219,2,1,1,0,sales,medium
351,0.81,0.7,4,219,2,1,0,0,hr,medium
352,0.59,0.9,2,219,2,1,0,0,technical,medium
353,0.66,0.57,4,220,2,1,0,0,support,medium
354,0.99,0.72,3,220,2,1,0,0,product_mng,low
355,0.5,0.83,2,220,2,1,0,0,sales,medium
356,0.74,0.86,4,221,2,1,0,0,accounting,low
357,0.49,0.99,3,221,2,1,0,0,technical,medium
358,0.75,1,4,222,2,1,0,0,accounting,high
359,0.98,0.77,5,223,2,1,0,0,support,medium
360,0.99,1,4,223,2,1,0,0,product_mng,low
361,0.72,0.63,3,223,2,1,0,0,sales,medium
362,0.51,0.53,3,223,2,1,0,0,accounting,low
363,0.5,0.91,5,224,2,1,0,0,management,medium
364,0.53,0.55,5,224,2,1,0,0,hr,low
365,0.48,0.96,4,224,2,1,0,0,sales,low
366,0.65,0.91,4,224,2,1,0,0,sales,low
367,0.65,0.91,4,224,2,1,0,0,sales,low
368,0.77,0.73,3,224,2,1,0,0,sales,low
369,0.95,0.61,3,224,2,1,0,0,support,low
370,0.95,0.61,3,224,2,1,0,0,support,low
371,0.51,0.88,5,225,2,1,0,0,IT,low
372,0.9,0.78,4,225,2,1,0,0,sales,medium
373,0.66,0.98,4,225,2,1,0,0,hr,medium
374,0.65,0.96,5,226,2,1,0,0,marketing,medium
375,0.89,1,4,226,2,1,0,0,technical,low
376,0.72,0.54,3,226,2,1,0,0,sales,low
377,0.6,0.85,2,226,2,1,0,0,technical,medium
378,0.81,0.8,4,227,2,1,0,0,sales,low
379,0.73,0.98,3,227,2,1,0,0,hr,high
380,0.65,0.74,4,228,2,1,0,0,IT,medium
381,0.74,0.61,3,228,2,1,0,0,IT,low
382,0.63,0.94,2,228,2,1,0,0,technical,low
383,0.75,0.75,5,229,2,1,0,0,sales,medium
384,0.94,0.51,4,229,2,1,0,0,sales,low
385,0.99,0.81,4,229,2,1,0,0,sales,medium
386,1,0.58,4,229,2,1,0,0,technical,medium
387,0.86,0.6,3,229,2,1,0,0,support,low
388,0.93,0.52,3,229,2,1,0,0,hr,medium
389,0.94,0.46,2,230,2,1,0,0,support,low
390,0.69,0.9,5,231,2,1,0,0,support,low
391,0.82,0.78,5,231,2,1,0,0,IT,low
392,0.69,0.73,3,231,2,1,0,0,management,high
393,0.71,0.68,3,231,2,1,0,0,product_mng,low
394,0.69,0.73,3,231,2,1,0,0,management,high
395,0.71,0.68,3,231,2,1,0,0,product_mng,low
396,0.96,0.45,6,232,2,1,0,0,product_mng,low
397,0.69,0.65,4,232,2,1,0,0,sales,low
398,0.83,0.77,3,232,2,1,0,0,sales,medium
399,0.77,0.96,3,232,2,1,0,0,RandD,low
400,0.64,0.93,4,233,2,1,0,0,technical,medium
401,0.85,0.55,4,233,2,1,0,0,technical,low
402,0.87,0.64,5,234,2,1,0,0,IT,medium
403,0.87,0.64,5,234,2,1,0,0,IT,medium
404,0.66,0.91,4,234,2,1,0,0,IT,medium
405,0.66,0.91,4,234,2,1,0,0,IT,medium
406,0.96,0.5,3,234,2,1,0,0,sales,medium
407,0.51,0.75,3,234,2,1,0,0,marketing,medium
408,0.92,0.94,3,234,2,1,0,0,IT,medium
409,0.89,0.7,4,235,2,1,0,0,accounting,high
410,0.88,0.54,3,235,2,1,0,0,technical,low
411,0.95,0.76,3,236,2,1,0,0,sales,medium
412,0.63,0.66,4,237,2,1,0,0,RandD,medium
413,0.5,0.74,4,237,2,1,0,0,support,medium
414,0.93,0.91,2,238,2,1,0,0,sales,low
415,0.93,0.91,2,238,2,1,0,0,sales,low
416,0.56,0.69,5,239,2,1,0,0,IT,low
417,0.53,0.75,4,239,2,1,0,0,technical,medium
418,0.81,0.99,3,239,2,1,0,0,technical,low
419,0.79,0.87,5,240,2,1,0,0,technical,medium
420,0.7,0.73,4,240,2,1,0,0,technical,medium
421,0.65,0.67,3,240,2,1,0,0,technical,low
422,0.18,0.49,3,240,2,1,0,0,marketing,low
423,0.65,0.67,3,240,2,1,0,0,technical,low
424,0.18,0.49,3,240,2,1,0,0,marketing,low
425,0.89,0.88,5,241,2,1,0,0,sales,medium
426,0.89,0.88,5,241,2,1,0,0,sales,medium
427,0.73,0.91,4,241,2,1,0,0,accounting,medium
428,0.48,0.49,4,242,2,1,0,0,support,medium
429,0.8,0.84,4,242,2,1,0,0,marketing,low
430,0.8,0.84,4,242,2,1,0,0,marketing,low
431,0.91,0.61,4,243,2,1,0,0,accounting,low
432,0.83,0.71,3,243,2,1,0,0,IT,low
433,0.72,0.62,3,243,2,1,0,0,hr,low
434,0.72,0.62,3,243,2,1,0,0,hr,low
435,0.96,0.74,5,244,2,1,0,0,IT,low
436,0.69,0.57,5,245,2,1,0,0,sales,low
437,1,0.73,3,245,2,1,0,0,product_mng,low
438,0.62,0.81,3,245,2,1,0,0,hr,low
439,0.62,0.81,3,245,2,1,0,0,hr,low
440,0.67,0.91,2,245,2,1,0,1,sales,medium
441,0.67,0.91,2,245,2,1,0,1,sales,medium
442,0.92,0.76,5,246,2,1,0,0,accounting,low
443,0.87,0.65,4,246,2,1,0,0,sales,low
444,0.84,0.94,4,246,2,1,0,0,support,medium
445,0.65,0.96,2,246,2,1,0,0,IT,low
446,0.64,0.51,4,247,2,1,0,0,support,low
447,0.68,0.99,3,247,2,1,0,0,technical,low
448,0.77,0.58,2,247,2,1,0,0,RandD,medium
449,0.8,0.81,5,248,2,1,0,0,RandD,low
450,0.8,0.81,5,248,2,1,0,0,RandD,low
451,0.63,0.56,4,248,2,1,0,0,sales,low
452,0.73,0.91,4,248,2,1,0,0,technical,medium
453,0.64,0.77,3,249,2,1,0,0,support,low
454,0.5,0.64,3,249,2,1,0,0,technical,low
455,0.79,0.56,5,250,2,1,0,1,management,medium
456,0.83,0.78,5,250,2,1,0,0,sales,low
457,0.98,0.95,4,250,2,1,0,0,product_mng,high
458,0.52,0.96,5,251,2,1,0,0,sales,low
459,0.94,0.57,4,251,2,1,0,0,sales,medium
460,0.73,0.8,4,251,2,1,0,0,support,low
461,0.51,0.61,4,251,2,1,0,0,support,low
462,0.95,0.71,3,251,2,1,0,0,hr,low
463,0.89,0.76,3,251,2,1,0,0,sales,low
464,0.7,0.87,4,252,2,1,0,0,support,low
465,0.72,0.62,4,252,2,1,0,0,technical,medium
466,0.54,0.71,5,253,2,1,0,0,support,high
467,0.84,0.97,4,253,2,1,0,0,sales,low
468,0.73,0.36,4,253,2,1,0,0,RandD,low
469,0.7,0.55,3,253,2,1,0,0,accounting,low
470,0.8,0.52,3,253,2,1,0,0,sales,low
471,0.87,0.76,5,254,2,1,0,0,hr,low
472,0.98,0.86,4,254,2,1,0,0,RandD,low
473,0.49,0.67,3,254,2,1,0,0,technical,medium
474,0.68,0.8,2,254,2,1,0,0,sales,low
475,0.49,0.71,3,255,2,1,0,0,accounting,low
476,0.98,0.7,3,255,2,1,0,0,marketing,low
477,0.97,0.54,3,255,2,1,0,0,RandD,high
478,0.77,0.8,2,255,2,1,0,0,accounting,medium
479,0.93,0.97,3,256,2,1,0,0,product_mng,low
480,0.29,0.66,3,256,2,1,0,0,sales,medium
481,0.49,0.76,3,257,2,1,0,0,marketing,medium
482,0.93,0.53,3,257,2,1,0,0,technical,low
483,0.5,0.64,3,257,2,1,0,0,accounting,high
484,0.5,0.64,3,257,2,1,0,0,accounting,high
485,0.75,0.69,2,257,2,1,0,0,product_mng,low
486,0.68,0.8,2,257,2,1,0,0,sales,low
487,0.89,0.68,4,258,2,1,0,0,sales,low
488,0.54,0.72,4,259,2,1,0,0,sales,low
489,0.53,0.77,4,259,2,1,0,1,sales,medium
490,0.53,0.77,4,259,2,1,0,1,sales,medium
491,0.58,0.76,5,260,2,1,0,0,technical,low
492,0.98,0.62,5,260,2,1,0,0,support,low
493,0.85,0.55,4,260,2,1,0,0,sales,low
494,0.98,0.74,4,260,2,1,0,0,marketing,low
495,0.51,0.53,4,260,2,1,0,0,support,medium
496,0.73,0.61,4,260,2,1,0,0,sales,low
497,0.73,0.61,4,260,2,1,0,0,sales,low
498,0.9,0.78,4,261,2,1,0,0,sales,medium
499,0.82,0.6,3,261,2,1,0,0,IT,medium
500,0.49,0.99,5,262,2,1,0,0,sales,medium
501,0.71,0.9,3,262,2,1,0,0,product_mng,low
502,0.66,0.6,3,262,2,1,0,0,IT,low
503,0.56,0.64,3,262,2,1,0,0,RandD,low
504,0.85,0.78,5,263,2,1,0,0,technical,low
505,0.6,0.71,5,263,2,1,0,0,IT,medium
